seller_id,total_sales,total_orders,total_freight,average_review_score,payment_value
12,403359251.44,1806.0,70421644.53,3.803931451612903,301245.27
87,265270360.28,1132.0,23314288.919999998,4.122822299651568,264166.12
21,258365701.88000003,982.0,70869552.60000001,3.348207754206291,507166.91
293,252383946.87,1314.0,39301006.14,4.071428571428571,272219.32
22,251249972.06,1854.0,57026280.230000004,3.9094059405940595,179657.75
13,207450052.71,1404.0,68213772.22,3.9824016563147,290253.42
52,202727308.3,1287.0,38154286.839999996,4.0517125587642715,236322.3
186,200652763.92000002,915.0,48834287.04,3.8497554157931515,308222.04
10,189136864.5,1706.0,46719917.0,4.0695748205411375,141309.58
37,166663148.79,1160.0,24536302.59,4.234991423670669,169030.8
259,113708629.58,585.0,5885022.2,4.34020618556701,206513.23
105,108922790.39999999,1080.0,25745906.099999998,4.11443661971831,131982.15
104,91996552.19999999,740.0,11352092.64,4.215189873417722,145267.95
196,91338180.5,358.0,5363058.3,4.075980392156863,284903.08
109,78463893.2,718.0,24519949.3,4.189048239895698,154356.91
81,69436264.98,521.0,6394787.0,4.181308411214953,148864.34
92,65677544.660000004,565.0,4989324.899999999,4.001742160278746,129169.98
91,59986835.8,336.0,2149541.2,4.206489675516224,185134.21
141,54472866.800000004,712.0,12169883.3,3.851985559566787,107125.39
20,44758228.53,1146.0,21115248.48,3.9532163742690063,61672.810000000005
